Episode,Score,Average Score,tau
366,-60.16484992394679,-107.72863846817974,0.0001
367,-59.84568534904598,-106.12385054392435,0.0001
368,-136.48062298603276,-106.69396430796186,0.0001
369,-113.50227501437895,-106.37064022161421,0.0001
370,-101.10493253932025,-106.35624573056832,0.0001
371,194.3303416290994,-103.59465727384811,0.0001
372,-20.31122971093501,-101.8533236299013,0.0001
373,160.56185077171872,-98.04333156625371,0.0001
374,-124.28757040492242,-98.4472958347481,0.0001
375,-19.525434545433665,-97.5008047820311,0.0001
376,-30.333294091767186,-96.17858288415827,0.0001
377,-48.66176588888434,-95.31350878619457,0.0001
378,-83.73739444591028,-93.7694181201944,0.0001
379,-44.97479750450001,-93.09603071674668,0.0001
380,100.53532086115584,-90.30204412411773,0.0001
381,-74.78550445606119,-88.34077816650208,0.0001
382,-66.19772436632798,-88.06355513535577,0.0001
383,187.10545450065362,-85.17720592220923,0.0001
384,200.9995127345989,-80.59826756046219,0.0001
385,-50.85794148745356,-79.3058283050034,0.0001
386,-150.3979694768522,-79.5352229527116,0.0001
387,-47.29783369113327,-78.23888847742042,0.0001
388,-26.03539877064216,-76.8861929173182,0.0001
389,-25.66061835228605,-75.66454898354343,0.0001
390,-62.840316241862105,-73.95304510899885,0.0001
391,34.831072679608866,-72.03745274877824,0.0001
392,-156.0076559075331,-72.86091756033711,0.0001
393,-133.43916388238307,-72.93163969517249,0.0001
394,157.45064279183467,-70.08045426663358,0.0001
395,148.3341597559472,-67.08548644523113,0.0001
396,184.24621977925835,-63.87917918865355,0.0001
397,-87.25331793546543,-63.92095686136394,0.0001
398,-130.6764051347176,-64.06012750760904,0.0001
399,-0.16168117294240458,-63.0403970102318,0.0001
400,206.8161297837433,-59.96359601215229,0.0001
401,214.12864443828147,-56.90757928430802,0.0001
402,-221.99905474023137,-58.18674921869898,0.0001
403,-32.66270149750952,-57.61586270161904,0.0001
404,-98.32143717244479,-58.051591314437985,0.0001
405,-80.95049498059018,-58.31276441489045,0.0001
406,-89.3899931534356,-57.87805020507979,0.0001
407,-123.91366005473617,-57.93437022962344,0.0001
408,-17.109346608388794,-57.178666439280086,0.0001
409,-50.65487839104326,-56.365016618758915,0.0001
410,-92.48682386519312,-55.572033545691085,0.0001
411,-59.21857743638865,-57.43114084958153,0.0001
412,-220.6214884213764,-58.7469875671183,0.0001
413,-166.97875089803415,-59.64145376925965,0.0001
414,-68.99870387993323,-58.96320938563226,0.0001
415,-64.80769937912518,-58.445751823196794,0.0001
416,-172.5330140344517,-58.29302436171369,0.0001
417,-142.79742631039815,-58.49884170125122,0.0001
418,2.7432575599460445,-57.19429112074559,0.0001
419,-34.15744500751623,-56.46049042756557,0.0001
420,-76.46479169768806,-56.23250176488632,0.0001
421,-24.55188764365858,-55.1731278721679,0.0001
422,-120.76917901506312,-55.01810482118873,0.0001
423,-219.03521475860742,-56.22116973203676,0.0001
424,-203.69423287152216,-56.45405355137212,0.0001
425,-145.93978870367908,-56.848734195769275,0.0001
426,-95.0051490682371,-56.627590131581556,0.0001
427,-196.08924296078084,-57.552803433720946,0.0001
428,-179.7317036893505,-57.817883689997224,0.0001
429,-116.30886058011548,-57.03812562122279,0.0001
430,-148.87832331036657,-57.75474158572376,0.0001
431,39.61956535582499,-56.7870525896161,0.0001
432,-151.18405414676818,-58.278378994584834,0.0001
433,-89.4476209826091,-58.69733821676039,0.0001
434,-187.99080202252978,-59.93391891689183,0.0001
435,-73.83237154296188,-58.66882915413189,0.0001
436,-48.00562333722327,-58.85791765013719,0.0001
437,-35.883342551849765,-57.1025862719966,0.0001
438,-72.20726328145102,-57.645543006657455,0.0001
439,-178.38247243654763,-59.11160211608128,0.0001
440,-43.860048299113814,-58.95809295390704,0.0001
441,-59.3090212707343,-59.05369227005039,0.0001
442,-36.779645171975595,-58.79230535606179,0.0001
443,-193.69059491630148,-60.31012544517057,0.0001
444,-48.27738614474689,-59.448939866489724,0.0001
445,-108.83147510828474,-60.36521954517956,0.0001
446,-73.68251899431961,-59.58399169734674,0.0001
447,-52.87578267199211,-59.703891023844726,0.0001
448,-77.17798766616433,-59.83544279320836,0.0001
449,-40.24017553629022,-59.47566488331549,0.0001
450,-31.349768165842413,-59.21309284346717,0.0001
451,-103.51207802360823,-60.04761516814091,0.0001
452,-207.47035945417795,-60.68115027350011,0.0001
453,-52.16619986361978,-60.277915348134975,0.0001
454,-175.14704622106962,-61.810307702960934,0.0001
455,-133.79857650810726,-62.279898468373375,0.0001
456,-113.55533944658016,-61.97748506776134,0.0001
457,-158.60114923647706,-62.54463052696075,0.0001
458,-124.73748204692131,-63.10455392919711,0.0001
459,-147.00254929286353,-63.760712981367405,0.0001
460,-174.7314329648441,-63.53811324844206,0.0001
461,-150.24485197958944,-64.62280379580365,0.0001
462,-121.6866861776326,-65.01237296039639,0.0001
463,-202.61544174519045,-66.14920634396591,0.0001
464,-166.63780669099816,-69.63626342096929,0.0001
465,-162.650471715424,-70.84474506383742,0.0001
466,-108.11674590539033,-71.32426402365185,0.0001
467,-123.07427023255363,-71.95654987248692,0.0001
468,-173.45449700218063,-72.3262886126484,0.0001
469,-170.03780789874511,-72.89164394149206,0.0001
470,-84.22671085982523,-72.72286172469711,0.0001
471,-119.73579145183433,-75.86352305550645,0.0001
472,-141.15504707213012,-77.07196122911841,0.0001
473,-73.13628961883325,-79.40894263302393,0.0001
474,-176.5840705135185,-79.93190763410989,0.0001
475,-149.98082934223567,-81.23646158207791,0.0001
476,-150.05194682550518,-82.4336481094153,0.0001
477,-144.24221416849787,-83.38945259221141,0.0001
478,-78.17972294876033,-83.33387587723992,0.0001
479,-68.58467185531177,-83.56997462074804,0.0001
480,-196.72007576932555,-86.54252858705286,0.0001
481,-124.13936745507087,-87.03606721704294,0.0001
482,-131.09555739275328,-87.6850455473072,0.0001
483,-152.13916138719176,-91.07749170618564,0.0001
484,-160.32423207750483,-94.69072915430668,0.0001
485,-180.1583894367501,-95.98373363379964,0.0001
486,-27.8212930383188,-94.7579668694143,0.0001
487,-198.32483427057514,-96.26823687520873,0.0001
488,-70.87946655392005,-96.71667755304154,0.0001
489,-176.3334055641858,-98.22340542516055,0.0001
490,-145.94157195360367,-99.05441798227795,0.0001
491,168.69251406144514,-97.71580356845958,0.0001
492,-201.04677084170345,-98.1661947178013,0.0001
493,-124.00591578989643,-98.07186223687643,0.0001
494,-145.27938531239704,-101.09916251791873,0.0001
495,-81.2077987183997,-103.39458210266218,0.0001
496,-126.89827073600397,-106.50602700781482,0.0001
497,-149.92600441953874,-107.13275387265556,0.0001
498,-95.5232967031665,-106.78122278834006,0.0001
499,-184.95892150445638,-108.62919519165516,0.0001
500,-175.70375027488606,-112.45439399224146,0.0001
501,-132.54068273960195,-115.92108726402031,0.0001
502,-162.08168373568637,-115.32191355397488,0.0001
503,-102.25044015511756,-116.01779094055095,0.0001
504,-107.280763515337,-116.10738420397988,0.0001
505,-196.47593867934307,-117.2626386409674,0.0001
506,-105.25743260784719,-117.4213130355115,0.0001
507,-185.86442758162394,-118.04082071078037,0.0001
508,-103.9367635960546,-118.90909488065704,0.0001
509,-124.12393700123901,-119.643785466759,0.0001
510,-124.56953500107119,-119.96461257811778,0.0001
511,-174.24578662358752,-121.11488466998976,0.0001
