episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
96077,582,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,31,0,0,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9388888888888889,0.0,1.0,1.0
96078,507,9,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,31,1,0,30,30,30,0,0,10,4,1,0,9,9,0,180,147,0.0,0.96,0.0,1.0,1.0
96079,510,9,cramped_room,9.8,8.766666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,32,3,0,30,30,30,0,0,13,5,4,2,9,9,0,180,150,0.0,0.916083916083916,0.0,1.0,1.0
96080,603,11,cramped_room,9.81,8.77,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,34,2,1,34,34,34,0,0,12,2,1,0,11,11,0,220,163,0.0,0.9411764705882353,0.0,1.0,1.0
96081,630,11,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,35,3,1,34,34,34,0,0,12,11,1,0,11,11,0,220,190,0.0,0.9285714285714286,0.0,1.0,1.0
96082,630,11,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,35,0,0,35,35,35,0,0,12,10,1,0,11,11,0,220,190,0.0,0.975,0.0,1.0,1.0
96083,579,10,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,32,2,1,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.9003496503496504,0.0,1.0,1.0
96084,627,11,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,34,3,3,34,34,34,0,0,12,10,1,0,11,11,0,220,187,0.0,0.9198717948717949,0.0,1.0,1.0
96085,512,9,cramped_room,9.82,8.773333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,30,1,0,30,30,30,0,0,12,4,2,1,10,9,0,180,152,0.0,0.9807692307692308,0.0,1.0,1.0
96086,615,11,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,41,34,5,5,35,35,35,0,0,13,5,2,0,11,11,0,220,175,0.0,0.8285714285714285,0.0,1.0,1.0
96087,587,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,31,0,0,33,33,33,0,0,11,11,0,0,11,10,0,200,187,0.0,0.9117647058823529,0.0,1.0,1.0
96088,564,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,34,3,0,32,32,32,0,0,12,6,2,0,10,10,0,200,164,0.0,0.9565217391304348,0.0,1.0,1.0
96089,558,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,31,0,0,33,33,33,0,0,13,3,2,1,10,10,0,200,158,0.0,0.9375,0.0,1.0,1.0
